City,Car_Name,Price,Mileage,Fuel_Type,Transmission,Year
New Delhi,Mercedes-Benz GLC 200,5200000,39524,Petrol,Automatic,2022
New Delhi,Mercedes-Benz GLC 200,5200000,39524,Petrol,Automatic,2022
New Delhi,Mercedes-Benz AMG C43 4Matic,8500000,2000,Petrol,Automatic,2023
New Delhi,Hyundai Creta SX Opt IVT,1650000,12000,Petrol,Automatic,2023
New Delhi,Kia Sonet HTK Plus BSVI,835000,27000,Petrol,Manual,2022
New Delhi,Mahindra XUV700 AX7 6Str AT,2375000,19000,Petrol,Automatic,2024
New Delhi,Mahindra XUV500 W4,575000,73000,Diesel,Manual,2017
New Delhi,Hyundai Creta 1.6 VTVT AT SX Plus,710000,76000,Petrol,Automatic,2016
New Delhi,Mercedes-Benz GLS 450 4MATIC BSVI,10800000,20000,Petrol,Automatic,2022
New Delhi,Honda City i VTEC S,490000,47000,Petrol,Manual,2016
New Delhi,Kia Seltos GTX Plus,1550000,14100,Petrol,Manual,2023
New Delhi,Land Rover Range Rover Evoque 2.0 R-Dynamic SE diesel 2020-2021,5150000,45000,Diesel,Automatic,2021
New Delhi,Maruti Swift LXI,249000,78000,Petrol,Manual,2013
New Delhi,Hyundai Venue S Turbo DCT,737000,42828,Petrol,Automatic,2020
New Delhi,Mercedes-Benz C-Class C 220 CDI Avantgarde,1650000,97000,Diesel,Automatic,2016
New Delhi,Jeep Compass 1.4 Limited Option,950000,67000,Petrol,Automatic,2018
New Delhi,Mahindra XUV700 AX5 7 Str Diesel AT,2050000,8200,Diesel,Automatic,2023
New Delhi,Tata Punch Creative,725000,14000,Petrol,Manual,2023
New Delhi,BMW 3 Series GT Luxury Line,1795000,78000,Diesel,Automatic,2017
New Delhi,Honda City i-VTEC CVT ZX,875000,37000,Petrol,Automatic,2018
New Delhi,Honda Amaze 2nd Gen VX CVT BSVI,825000,19000,Petrol,Automatic,2022
Mumbai,Honda Brio 1.2 VX AT,499000,67000,Petrol,Automatic,2017
Mumbai,Honda Brio 1.2 VX AT,499000,67000,Petrol,Automatic,2017
Mumbai,Tata Nexon 1.2 Revotron XMA,761000,32900,Petrol,Automatic,2020
Mumbai,Mercedes-Benz GLC 220d 4MATIC,4500000,23000,Diesel,Automatic,2022
