City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
New Delhi,2022 Mercedes-Benz GLC 200,₹52 LakhCompare,"39,524 kms",Petrol,Automatic,N/A,URL not available
New Delhi,2022 Mercedes-Benz GLC 200,₹52 LakhCompare,"39,524 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-glc-200-cars-Gurgaon_d03bebdb-c691-473b-9dde-e40ab711199a.htm?adId=4408&adType=1
New Delhi,2023 Mercedes-Benz AMG C43 4Matic,₹85 LakhCompare,"2,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-amg-c43-4matic-cars-New-Delhi_c827c0f5-d6cb-4110-b205-ee7a789fad7a.htm?adId=4355&adType=41
New Delhi,2023 Hyundai Creta SX Opt IVT,₹16.50 LakhCompare,"12,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-opt-ivt-cars-New-Delhi_948d4e16-59e0-4967-9707-b35839193f51.htm
New Delhi,Under ₹2 Lakh,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+0-lakh-to-2-lakh+in+new-delhi
New Delhi,2022 Kia Sonet HTK Plus BSVI,₹8.35 LakhCompare,"27,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-bsvi-cars-New-Delhi_5217fe19-88b0-4962-8ed9-0df5cc63dada.htm
New Delhi,2024 Mahindra XUV700 AX7 6Str AT,₹23.75 LakhCompare,"19,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-6str-at-cars-New-Delhi_7f98e346-1542-4396-97ac-1f27eef06dc0.htm
New Delhi,2017 Mahindra XUV500 W4,₹5.75 LakhCompare,"73,000 kms",Diesel,Manual,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w4-cars-New-Delhi_d730b82e-ad7e-4cbb-ac07-44586bfa9444.htm?adId=3210&adType=41
New Delhi,2016 Hyundai Creta 1.6 VTVT AT SX Plus,₹7.10 LakhCompare,"76,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-at-sx-plus-cars-New-Delhi_967cc1b9-613b-4b03-b751-871cc48cc935.htm
New Delhi,2022 Mercedes-Benz GLS 450 4MATIC BSVI,₹1.08 CroreCompare,"20,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-450-4matic-bsvi-cars-New-Delhi_774a8970-3737-44e9-b4b2-08170c68dd10.htm
New Delhi,2016 Honda City i VTEC S,₹4.90 LakhCompare,"47,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-s-cars-New-Delhi_7a6bb599-f82d-435c-8873-401e347d6e98.htm
New Delhi,Budget Cars₹2 Lakh-₹5 Lakh,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+2-lakh-to-5-lakh+in+new-delhi
New Delhi,2023 Kia Seltos GTX Plus,₹15.50 LakhCompare,"14,100 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-cars-New-Delhi_ca1fbe14-a2cd-40d1-bba9-0289050ccb91.htm?adId=2326&adType=41
New Delhi,2021 Land Rover Range Rover Evoque 2.0 R-Dynamic SE diesel 2020-2021,₹51.50 LakhCompare,"45,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Land-rover-range-rover-evoque-20-r-dynamic-se-diesel-2020-2021-cars-New-Delhi_2bb31f72-9c17-4319-983f-7df0b89b7b4a.htm
New Delhi,2013 Maruti Swift LXI,₹2.49 LakhCompare,"78,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Maruti-swift-lxi-cars-New-Delhi_81a279b9-e4bf-40ed-bc3b-2cb1247b051c.htm
New Delhi,2020 Hyundai Venue S Turbo DCT,₹7.37 LakhCompare,"42,828 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-turbo-dct-cars-New-Delhi_3a579403-3fa7-4ddb-8c72-3074be820d6e.htm
New Delhi,2016 Mercedes-Benz C-Class C 220 CDI Avantgarde,₹16.50 LakhCompare,"97,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-220-cdi-avantgarde-cars-New-Delhi_5e2022d2-8e19-4eb3-ac10-3ac30ea2e535.htm?adId=4100&adType=41
New Delhi,2018 Jeep Compass 1.4 Limited Option,₹9.50 LakhCompare,"67,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-option-cars-New-Delhi_23cb7caa-710c-4456-bc28-a0f9313f07d7.htm
New Delhi,SUV,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-suv+cars+in+new-delhi
New Delhi,2023 Mahindra XUV700 AX5 7 Str Diesel AT,₹20.50 LakhCompare,"8,200 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-diesel-at-cars-New-Delhi_4faf8a11-332e-420c-b663-5b593f2a3999.htm
New Delhi,2023 Tata Punch Creative,₹7.25 LakhCompare,"14,000 kms",Petrol,Manual,N/A,https://www.cardekho.com/used-car-details/used-Tata-punch-creative-cars-New-Delhi_68dfe7a2-48b8-45b9-b9b5-a4fcfa973fe1.htm
New Delhi,2017 BMW 3 Series GT Luxury Line,₹17.95 LakhCompare,"78,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Bmw-3-series-gt-luxury-line-cars-New-Delhi_dc460f77-80a1-43b5-af3b-c0ae8aa2c408.htm?adId=4092&adType=41
New Delhi,Gurgaon,Price not available,N/A,N/A,N/A,N/A,https://www.cardekho.com/used-cars+in+gurgaon
New Delhi,2018 Honda City i-VTEC CVT ZX,₹8.75 LakhCompare,"37,000 kms",Petrol,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Honda-city-i-vtec-cvt-zx-cars-New-Delhi_8ee233e9-454b-4aef-a06a-1bb06cfb190c.htm
